timestamp,open,high,low,close,volume
2025-07-04 04:00:00,109245.7,109328.6,108706.1,108706.1,207.77898693
2025-07-04 08:00:00,108706.2,109108.4,108519.0,108889.1,246.45333105
2025-07-04 12:00:00,108890.9,108974.4,107504.0,107598.3,613.57939358
2025-07-04 16:00:00,107598.3,107916.8,107258.5,107479.3,340.50725919
2025-07-04 20:00:00,107479.3,108259.8,107440.3,107984.7,291.68630326
2025-07-05 00:00:00,107984.7,108258.9,107752.3,108154.1,160.74782059
2025-07-05 04:00:00,108154.2,108410.0,108008.6,108054.4,150.00220281
2025-07-05 08:00:00,108054.4,108215.0,107882.2,108113.6,132.59780137
2025-07-05 12:00:00,108113.6,108231.5,107969.2,108061.9,109.02299799
2025-07-05 16:00:00,108062.0,108112.1,107851.9,108112.1,47.50730375
