open,high,low,close,quoteVol,volume,timestamp
108059.1,108194.4,107908.8,108012.7,717.1258,77496964.91047,2025-07-05 12:00:00
108000.9,108175.0,107828.1,108059.1,885.2119,95610778.78131,2025-07-05 08:00:00
108093.5,108367.8,107946.1,108000.9,965.9087,104439394.51235,2025-07-05 04:00:00
107935.4,108218.0,107688.3,108093.5,1066.0917,115134212.32745,2025-07-05 00:00:00
107429.7,108222.9,107385.9,107935.4,1662.221,179327881.61928,2025-07-04 20:00:00
107534.7,107868.6,107200.0,107429.7,3109.645,334422215.2937,2025-07-04 16:00:00
108842.3,108929.3,107436.0,107534.7,5754.7841,621483213.13012,2025-07-04 12:00:00
108661.0,109071.1,108476.4,108842.3,2025.487,220412968.97677,2025-07-04 08:00:00
109195.7,109283.2,108661.0,108661.0,2249.5325,245048316.9038,2025-07-04 04:00:00
109545.2,109732.3,109052.1,109195.7,1637.3239,179008545.44748,2025-07-04 00:00:00
