timestamp,open,high,low,close,volume
2025-07-05 07:00:00,108268.2,108268.3,108008.6,108054.4,33.78855255
2025-07-05 08:00:00,108054.4,108123.0,107936.5,108034.6,43.96519629
2025-07-05 09:00:00,108034.7,108123.0,107882.2,108080.9,51.09333689
2025-07-05 10:00:00,108080.9,108207.3,108060.0,108091.3,17.30909717
2025-07-05 11:00:00,108091.4,108215.0,108091.3,108113.6,20.23017102
2025-07-05 12:00:00,108113.6,108147.4,107969.2,108147.3,33.99946927
2025-07-05 13:00:00,108147.3,108231.5,108112.6,108125.2,22.97551795
2025-07-05 14:00:00,108125.2,108222.7,108106.2,108195.2,29.94307007
2025-07-05 15:00:00,108195.3,108195.3,108042.4,108061.9,22.1049407
2025-07-05 16:00:00,108062.0,108112.1,107851.9,108112.1,47.50730375
