timestamp,open,high,low,close,volume
2025-07-05 07:00:00,2527.02,2529.5,2519.27,2521.37,1679.2426837
2025-07-05 08:00:00,2521.37,2524.77,2509.69,2516.04,1627.9528457
2025-07-05 09:00:00,2516.05,2522.5,2508.55,2521.31,2301.6458994
2025-07-05 10:00:00,2521.32,2522.94,2517.78,2518.25,1565.1139505
2025-07-05 11:00:00,2518.24,2525.45,2517.49,2517.84,1328.1712706
2025-07-05 12:00:00,2517.84,2518.84,2510.7,2518.16,1749.8856974
2025-07-05 13:00:00,2518.16,2521.48,2513.02,2514.36,1100.9184235
2025-07-05 14:00:00,2514.36,2520.29,2511.67,2518.81,1204.8896187
2025-07-05 15:00:00,2518.8,2518.83,2505.43,2507.82,1666.0503076
2025-07-05 16:00:00,2507.97,2513.27,2491.93,2505.35,3240.9019192
