timestamp,open,high,low,close,volume
2025-07-04 04:00:00,2577.85,2584.6,2530.02,2534.89,10022.7436651
2025-07-04 08:00:00,2534.9,2558.57,2527.4,2549.3,8628.60550308
2025-07-04 12:00:00,2549.31,2556.23,2497.79,2500.74,19433.21555374
2025-07-04 16:00:00,2500.63,2503.51,2474.74,2482.69,14191.5470561
2025-07-04 20:00:00,2482.69,2520.82,2481.4,2507.9,6884.322865
2025-07-05 00:00:00,2507.91,2524.84,2498.0,2518.12,4946.6503495
2025-07-05 04:00:00,2518.13,2529.5,2512.41,2521.37,6769.2061333
2025-07-05 08:00:00,2521.37,2525.45,2508.55,2517.84,6822.8839662
2025-07-05 12:00:00,2517.84,2521.48,2505.43,2507.82,5721.7440472
2025-07-05 16:00:00,2507.97,2513.27,2491.93,2505.35,3240.9019192
