open,high,low,close,quoteVol,volume,timestamp,returns,log_returns,close_ma_5,close_ma_10,volatility_5,volatility_20,ema_10,ema_20,rsi_14,macd,macd_signal,bb_upper,bb_lower
109195.7,109283.2,108661.0,108661.0,2249.5325,245048316.9038,2025-07-04 04:00:00,,,,,,,108661.0,108661.0,,0.0,0.0,,
108661.0,109071.1,108476.4,108842.3,2025.487,220412968.97677,2025-07-04 08:00:00,0.0016684919152225586,0.0016671015289376491,,,,,108693.96363636364,108678.26666666666,,14.462678062685882,2.8925356125371766,,
108842.3,108929.3,107436.0,107534.7,5754.7841,621483213.13012,2025-07-04 12:00:00,-0.012013711580883601,-0.012086459448874452,,,,,108483.18842975206,108569.35555555555,,-78.68095226498554,-13.422161962967365,,
107534.7,107868.6,107200.0,107429.7,3109.645,334422215.2937,2025-07-04 16:00:00,-0.0009764290038470902,-0.000976906021187858,,,,,108291.64507888805,108460.81693121692,,-159.136150359147,-42.56495964220329,,
107429.7,108222.9,107385.9,107935.4,1662.221,179327881.61928,2025-07-04 20:00:00,0.004707264378472686,0.004696219855605662,108080.62,,,,108226.87324636294,108410.77722348197,,-180.01659159692645,-70.05528603314792,,
107935.4,108218.0,107688.3,108093.5,1066.0917,115134212.32745,2025-07-05 00:00:00,0.0014647650353822872,0.0014636933134973653,107967.12,,0.006462714283902916,,108202.62356520603,108380.56034505513,,-181.71247471374227,-92.3867237692668,,
108093.5,108367.8,107946.1,108000.9,965.9087,104439394.51235,2025-07-05 04:00:00,-0.0008566657569604175,-0.0008570329047669366,107798.84,,0.006295633211335184,,108165.94655335037,108344.40221695464,,-188.35725522162102,-111.58083005973765,,
108000.9,108175.0,107828.1,108059.1,885.2119,95610778.78131,2025-07-05 08:00:00,0.0005388843981857239,0.0005387392521307086,107903.72,,0.0023196409750062593,,108146.51990728665,108317.23057724467,,-186.77402336629166,-126.61946872104846,,
108059.1,108194.4,107908.8,108012.7,717.1258,77496964.91047,2025-07-05 12:00:00,-0.0004293946553322048,-0.0004294868716162832,108020.31999999999,,0.0022151027086655057,,108122.18901505272,108288.22766512613,,-187.10654515068745,-138.71688400697627,,
108012.7,108130.7,107810.9,108092.1,906.7317,97902904.08662,2025-07-05 16:00:00,0.0007350987430183586,0.0007348286902728836,108051.66,108066.13999999998,0.0009317320975667122,,108116.71828504314,108269.54883987602,,-178.90089646152046,-146.75368649788513,,
